benchmark,family,result,time,memory
mbo_E4E26,20161105-Sturm-MBO,unsat,0.089,24.367
mbo_E4E27,20161105-Sturm-MBO,unsat,0.031,21.371
mbo_E4E28,20161105-Sturm-MBO,unsat,0.086,24.449
mbo_E4E5,20161105-Sturm-MBO,unsat,0.131,26.496
mbo_E4E6,20161105-Sturm-MBO,unsat,0.108,25.367
mbo_E4E7,20161105-Sturm-MBO,unsat,0.058,22.715
mbo_E4E8,20161105-Sturm-MBO,memoryout,0,0
mbo_E4E9,20161105-Sturm-MBO,memoryout,0,0
mbo_E4,20161105-Sturm-MBO,unsat,0.015,20.836
mbo_E5E10,20161105-Sturm-MBO,memoryout,0,0
mbo_E5E11,20161105-Sturm-MBO,unsat,0.02,20.461
mbo_E5E12,20161105-Sturm-MBO,unsat,0.139,26.371
mbo_E5E13,20161105-Sturm-MBO,unsat,0.147,26.68
mbo_E5E15,20161105-Sturm-MBO,unsat,0.119,26.5
mbo_E5E16,20161105-Sturm-MBO,unsat,0.016,20.645
mbo_E5E17,20161105-Sturm-MBO,unsat,0.013,20.641
mbo_E5E18,20161105-Sturm-MBO,memoryout,0,0
