benchmark,family,result,time
mbo_E4E24,20161105-Sturm-MBO,unsat,10.728
mbo_E4E25,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.002
mbo_E4E26,20161105-Sturm-MBO,unsat,10.823
mbo_E4E27,20161105-Sturm-MBO,unsat,1.136
mbo_E4E28,20161105-Sturm-MBO,unsat,11.82
mbo_E4E5,20161105-Sturm-MBO,unsat,24.095
mbo_E4E6,20161105-Sturm-MBO,unsat,15.763
mbo_E4E7,20161105-Sturm-MBO,unsat,3.456
mbo_E4E8,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.01
mbo_E4E9,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E4,20161105-Sturm-MBO,unsat,0.255
mbo_E5E10,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.008
mbo_E5E11,20161105-Sturm-MBO,unsat,0.119
mbo_E5E12,20161105-Sturm-MBO,unsat,53.887
mbo_E5E13,20161105-Sturm-MBO,unsat,65.438
mbo_E5E15,20161105-Sturm-MBO,unsat,56.081
mbo_E5E16,20161105-Sturm-MBO,unsat,0.282
mbo_E5E17,20161105-Sturm-MBO,unsat,0.193
mbo_E5E18,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.004
mbo_E5E19,20161105-Sturm-MBO,unsat,49.393
mbo_E5E20,20161105-Sturm-MBO,unsat,20.219
mbo_E5E21,20161105-Sturm-MBO,unsat,0.144
mbo_E5E22,20161105-Sturm-MBO,unsat,28.084
mbo_E5E23,20161105-Sturm-MBO,unsat,0.157
mbo_E5E24,20161105-Sturm-MBO,unsat,37.374
mbo_E5E25,20161105-Sturm-MBO,unsat,32.759
mbo_E5E26,20161105-Sturm-MBO,unsat,0.155
mbo_E5E27,20161105-Sturm-MBO,unsat,0.083
mbo_E5E28,20161105-Sturm-MBO,unsat,0.177
mbo_E5E6,20161105-Sturm-MBO,unsat,0.286
mbo_E5E7,20161105-Sturm-MBO,unsat,0.144
mbo_E5E8,20161105-Sturm-MBO,unsat,64.951
mbo_E5E9,20161105-Sturm-MBO,unsat,0.21
mbo_E5,20161105-Sturm-MBO,unsat,0.051
mbo_E6E10,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.015
mbo_E6E11,20161105-Sturm-MBO,unsat,0.119
mbo_E6E12,20161105-Sturm-MBO,unsat,19.209
mbo_E6E13,20161105-Sturm-MBO,unsat,22.151
mbo_E6E14,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.006
mbo_E6E15,20161105-Sturm-MBO,unsat,19.667
mbo_E6E16,20161105-Sturm-MBO,unsat,0.189
mbo_E6E17,20161105-Sturm-MBO,unsat,0.171
mbo_E6E18,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E6E19,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.01
mbo_E6E20,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.076
mbo_E6E21,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.006
mbo_E6E22,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.009
mbo_E6E23,20161105-Sturm-MBO,unsat,0.153
mbo_E6E24,20161105-Sturm-MBO,unsat,13.105
mbo_E6E25,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.011
mbo_E6E26,20161105-Sturm-MBO,unsat,0.164
mbo_E6E27,20161105-Sturm-MBO,unsat,0.076
mbo_E6E28,20161105-Sturm-MBO,unsat,0.167
mbo_E6E7,20161105-Sturm-MBO,unsat,0.137
mbo_E6E8,20161105-Sturm-MBO,unsat,22.643
mbo_E6E9,20161105-Sturm-MBO,unsat,0.175
mbo_E6,20161105-Sturm-MBO,unsat,0.046
mbo_E7E10,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E7E11,20161105-Sturm-MBO,unsat,0.034
mbo_E7E12,20161105-Sturm-MBO,unsat,10.623
mbo_E7E13,20161105-Sturm-MBO,unsat,13.262
mbo_E7E14,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E7E15,20161105-Sturm-MBO,unsat,10.646
mbo_E7E16,20161105-Sturm-MBO,unsat,0.171
mbo_E7E17,20161105-Sturm-MBO,unsat,0.145
mbo_E7E18,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E7E19,20161105-Sturm-MBO,unsat,11.132
mbo_E7E20,20161105-Sturm-MBO,unsat,2.411
mbo_E7E21,20161105-Sturm-MBO,unsat,0.07
mbo_E7E22,20161105-Sturm-MBO,unsat,4.18
mbo_E7E23,20161105-Sturm-MBO,unsat,0.11
mbo_E7E24,20161105-Sturm-MBO,unsat,6.665
mbo_E7E25,20161105-Sturm-MBO,unsat,5.244
mbo_E7E26,20161105-Sturm-MBO,unsat,0.098
mbo_E7E27,20161105-Sturm-MBO,unsat,0.031
mbo_E7E28,20161105-Sturm-MBO,unsat,0.094
mbo_E7E8,20161105-Sturm-MBO,unsat,15.76
mbo_E7E9,20161105-Sturm-MBO,unsat,0.154
mbo_E7,20161105-Sturm-MBO,unsat,0.033
mbo_E8E10,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E8E11,20161105-Sturm-MBO,unsat,3.613
mbo_E8E12,20161105-Sturm-MBO,unsat,15.248
mbo_E8E13,20161105-Sturm-MBO,unsat,16.146
mbo_E8E14,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.003
mbo_E8E15,20161105-Sturm-MBO,unsat,15.105
mbo_E8E16,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E8E17,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E8E18,20161105-Sturm-MBO,unsat,17.769
mbo_E8E19,20161105-Sturm-MBO,unsat,14.725
mbo_E8E20,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.002
mbo_E8E21,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E8E22,20161105-Sturm-MBO,unsat,12.541
mbo_E8E23,20161105-Sturm-MBO,unsat,9.351
mbo_E8E24,20161105-Sturm-MBO,unsat,12.279
mbo_E8E25,20161105-Sturm-MBO,unsat,13.695
mbo_E8E26,20161105-Sturm-MBO,unsat,11.953
mbo_E8E27,20161105-Sturm-MBO,unsat,1.715
mbo_E8E28,20161105-Sturm-MBO,unsat,13.36
mbo_E8E9,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E8,20161105-Sturm-MBO,unsat,0.386
mbo_E9E10,20161105-Sturm-MBO,unsat,0.507
mbo_E9E11,20161105-Sturm-MBO,unsat,0.045
mbo_E9E12,20161105-Sturm-MBO,unsat,28.44
mbo_E9E13,20161105-Sturm-MBO,unsat,32.711
mbo_E9E14,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.002
mbo_E9E15,20161105-Sturm-MBO,unsat,27.847
mbo_E9E16,20161105-Sturm-MBO,unsat,0.186
mbo_E9E17,20161105-Sturm-MBO,unsat,0.16
mbo_E9E18,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.009
mbo_E9E19,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E9E20,20161105-Sturm-MBO,unsat,0.461
mbo_E9E21,20161105-Sturm-MBO,unsat,0.045
mbo_E9E22,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.001
mbo_E9E23,20161105-Sturm-MBO,unsat,0.137
mbo_E9E24,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.002
mbo_E9E25,20161105-Sturm-MBO,cvc5 interrupted by timeout.,1200.002
mbo_E9E26,20161105-Sturm-MBO,unsat,0.147
mbo_E9E27,20161105-Sturm-MBO,unsat,0.071
mbo_E9E28,20161105-Sturm-MBO,unsat,0.163
mbo_E9,20161105-Sturm-MBO,unsat,0.038
mgc_02,20161105-Sturm-MGC,cvc5 interrupted by timeout.,1200.005
mgc_03,20161105-Sturm-MGC,cvc5 interrupted by timeout.,1200.005
mgc_04,20161105-Sturm-MGC,cvc5 interrupted by timeout.,1200.001
mgc_05,20161105-Sturm-MGC,cvc5 interrupted by timeout.,1200.002
mgc_06,20161105-Sturm-MGC,cvc5 interrupted by timeout.,1200.006
mgc_07,20161105-Sturm-MGC,cvc5 interrupted by timeout.,1200.001
mgc_08,20161105-Sturm-MGC,cvc5 interrupted by timeout.,1200.002
mgc_09,20161105-Sturm-MGC,cvc5 interrupted by timeout.,1200.001
mgc_10,20161105-Sturm-MGC,cvc5 interrupted by timeout.,1200.009
